# mgf_spectrum_id,mgf_inchikey,mgf_smiles,mibig_id,mibig_name,mibig_inchi,mibig_smiles
CCMSLIB00000001552,USXIYWCPCGVOKF-NOENWEJRSA-N,C[C@H]1[C@H](CCCC(C)(Cl)Cl)OC(=O)C2=CSC(=N2)[C@@H](OC(C)=O)C(C)(C)OC(=O)C2=CSC(=N2)[C@@H](OC1=O)C(C)(C)O,BGC0001000,Hectochlorin,USXIYWCPCGVOKF-NOENWEJRSA-N,C[C@H]1[C@H](CCCC(C)(Cl)Cl)OC(=O)C2=CSC(=N2)[C@@H](OC(C)=O)C(C)(C)OC(=O)C2=CSC(=N2)[C@@H](OC1=O)C(C)(C)O
CCMSLIB00000569369,UIFFUZWRFRDZJC-UHFFFAOYSA-N,N/A,BGC0000958,Antimycin,UIFFUZWRFRDZJC-SBOOETFBSA-N,CCCCCC[C@@H]1[C@H]([C@@H](OC(=O)[C@H]([C@H](OC1=O)C)NC(=O)C2=C(C(=CC=C2)NC=O)O)C)OC(=O)CC(C)C
CCMSLIB00000569439,UIFFUZWRFRDZJC-UHFFFAOYSA-N,N/A,BGC0000958,Antimycin,UIFFUZWRFRDZJC-SBOOETFBSA-N,CCCCCC[C@@H]1[C@H]([C@@H](OC(=O)[C@H]([C@H](OC1=O)C)NC(=O)C2=C(C(=CC=C2)NC=O)O)C)OC(=O)CC(C)C
CCMSLIB00000569442,YPHMISFOHDHNIV-UHFFFAOYSA-N,N/A,BGC0000175,Cycloheximide,YPHMISFOHDHNIV-GAIPPQHRSA-N,[H][C@@](O)(CC1CC(=O)NC(=O)C1)[C@@]1([H])C[C@@H](C)C[C@H](C)C1=O
CCMSLIB00000569682,DHPRQBPJLMKORJ-UHFFFAOYSA-N,N/A,BGC0000209,chlortetracycline,DHPRQBPJLMKORJ-RQWFMOQPSA-N,C[C@@]1(C2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)O)C(=O)N)N(C)C)O
CCMSLIB00000569800,DIAQQISRBBDJIM-DRSCAGMXSA-N,N/A,BGC0001667,microcystin-LA,DIAQQISRBBDJIM-DRSCAGMXSA-N,C[C@H]1[C@@H](NC(=O)[C@@H](NC(=O)[C@H]([C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)C(=C)N(C(=O)CC[C@@H](NC1=O)C(=O)O)C)C)CC(C)C)C(=O)O)C)C)/C=C/C(=C/[C@H](C)[C@H](CC2=CC=CC=C2)OC)/C
CCMSLIB00000569820,DHPRQBPJLMKORJ-UHFFFAOYSA-N,N/A,BGC0000209,chlortetracycline,DHPRQBPJLMKORJ-RQWFMOQPSA-N,C[C@@]1(C2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)O)C(=O)N)N(C)C)O
CCMSLIB00000569825,DHPRQBPJLMKORJ-UHFFFAOYSA-N,N/A,BGC0000209,chlortetracycline,DHPRQBPJLMKORJ-RQWFMOQPSA-N,C[C@@]1(C2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)O)C(=O)N)N(C)C)O
CCMSLIB00000569857,VQOXZBDYSJBXMA-NQTDYLQESA-N,N/A,BGC0000115,nystatin A1,VQOXZBDYSJBXMA-NQTDYLQESA-N,C[C@H]1/C=C/C=C/CC/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H]([C@@H](CC[C@H](C[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O
CCMSLIB00000569857,VQOXZBDYSJBXMA-NQTDYLQESA-N,N/A,BGC0001709,nystatin,VQOXZBDYSJBXMA-RKEBNKJGSA-N,C[C@H]1/C=C/C=C/CC/C=C/C=C/C=C/C=C/C(CC2C(C(C[C@](O2)(CC(C(CCC(CC(CC(CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O
CCMSLIB00000569859,DHPRQBPJLMKORJ-UHFFFAOYSA-N,N/A,BGC0000209,chlortetracycline,DHPRQBPJLMKORJ-RQWFMOQPSA-N,C[C@@]1(C2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)O)C(=O)N)N(C)C)O
CCMSLIB00000569980,WIIZWVCIJKGZOK-RKDXNWHRSA-N,N/A,BGC0000893,Chloramphenicol,WIIZWVCIJKGZOK-UHFFFAOYSA-N,OCC(NC(=O)C(Cl)Cl)C(O)C1=CC=C(C=C1)N(=O)=O
CCMSLIB00000569986,DHPRQBPJLMKORJ-UHFFFAOYSA-N,N/A,BGC0000209,chlortetracycline,DHPRQBPJLMKORJ-RQWFMOQPSA-N,C[C@@]1(C2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)O)C(=O)N)N(C)C)O
CCMSLIB00000570036,DIAQQISRBBDJIM-DRSCAGMXSA-N,N/A,BGC0001667,microcystin-LA,DIAQQISRBBDJIM-DRSCAGMXSA-N,C[C@H]1[C@@H](NC(=O)[C@@H](NC(=O)[C@H]([C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)C(=C)N(C(=O)CC[C@@H](NC1=O)C(=O)O)C)C)CC(C)C)C(=O)O)C)C)/C=C/C(=C/[C@H](C)[C@H](CC2=CC=CC=C2)OC)/C
CCMSLIB00000570358,HPNSFSBZBAHARI-RUDMXATFSA-N,N/A,BGC0000104,Mycophenolic acid,HPNSFSBZBAHARI-RUDMXATFSA-N,COC1=C(C\C=C(/C)CCC(O)=O)C(O)=C2C(=O)OCC2=C1C
CCMSLIB00000570358,HPNSFSBZBAHARI-RUDMXATFSA-N,N/A,BGC0001677,mycophenolic acid,HPNSFSBZBAHARI-RUDMXATFSA-N,COC1=C(C\C=C(/C)CCC(O)=O)C(O)=C2C(=O)OCC2=C1C
CCMSLIB00000570370,DIAQQISRBBDJIM-DRSCAGMXSA-N,N/A,BGC0001667,microcystin-LA,DIAQQISRBBDJIM-DRSCAGMXSA-N,C[C@H]1[C@@H](NC(=O)[C@@H](NC(=O)[C@H]([C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)C(=C)N(C(=O)CC[C@@H](NC1=O)C(=O)O)C)C)CC(C)C)C(=O)O)C)C)/C=C/C(=C/[C@H](C)[C@H](CC2=CC=CC=C2)OC)/C
CCMSLIB00000570417,UIFFUZWRFRDZJC-UHFFFAOYSA-N,N/A,BGC0000958,Antimycin,UIFFUZWRFRDZJC-SBOOETFBSA-N,CCCCCC[C@@H]1[C@H]([C@@H](OC(=O)[C@H]([C@H](OC1=O)C)NC(=O)C2=C(C(=CC=C2)NC=O)O)C)OC(=O)CC(C)C
CCMSLIB00000570429,DANUORFCFTYTSZ-UHFFFAOYSA-N,N/A,BGC0000114,Nigericin,DANUORFCFTYTSZ-SJSJOXFOSA-N,[H][C@](C)(C(O)=O)[C@]1([H])O[C@@H](C[C@@H]2C[C@@H](OC)[C@@H](C)[C@@]3(O[C@@](C)(C[C@H]3C)[C@@]3([H])CC[C@](C)(O3)[C@]3([H])O[C@]([H])(C[C@@H]3C)[C@@]3([H])O[C@@](O)(CO)[C@H](C)C[C@@H]3C)O2)CC[C@@H]1C
CCMSLIB00000570451,QJJXYPPXXYFBGM-LJIGMGMYSA-N,N/A,BGC0000353,Tacrolimus,QJJXYPPXXYFBGM-ONLNQCGCSA-N,[H][C@]1(CC[C@@H](O)[C@@H](C1)OC)\C=C(/C)[C@@H]1OC(=O)[C@]2([H])CCCCN2C(=O)C(=O)[C@]2(O)O[C@@]([H])([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC
CCMSLIB00000570650,UCSJYZPVAKXKNQ-HZYVHMACSA-N,N/A,BGC0000717,streptomycin,UCSJYZPVAKXKNQ-HZYVHMACSA-N,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O
CCMSLIB00000570650,UCSJYZPVAKXKNQ-HZYVHMACSA-N,N/A,BGC0000718,streptomycin,UCSJYZPVAKXKNQ-HZYVHMACSA-N,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O
CCMSLIB00000570650,UCSJYZPVAKXKNQ-HZYVHMACSA-N,N/A,BGC0000724,streptomycin,UCSJYZPVAKXKNQ-HZYVHMACSA-N,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O
CCMSLIB00000570702,DIAQQISRBBDJIM-DRSCAGMXSA-N,N/A,BGC0001667,microcystin-LA,DIAQQISRBBDJIM-DRSCAGMXSA-N,C[C@H]1[C@@H](NC(=O)[C@@H](NC(=O)[C@H]([C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)C(=C)N(C(=O)CC[C@@H](NC1=O)C(=O)O)C)C)CC(C)C)C(=O)O)C)C)/C=C/C(=C/[C@H](C)[C@H](CC2=CC=CC=C2)OC)/C
CCMSLIB00000570704,HPNSFSBZBAHARI-RUDMXATFSA-N,N/A,BGC0000104,Mycophenolic acid,HPNSFSBZBAHARI-RUDMXATFSA-N,COC1=C(C\C=C(/C)CCC(O)=O)C(O)=C2C(=O)OCC2=C1C
CCMSLIB00000570704,HPNSFSBZBAHARI-RUDMXATFSA-N,N/A,BGC0001677,mycophenolic acid,HPNSFSBZBAHARI-RUDMXATFSA-N,COC1=C(C\C=C(/C)CCC(O)=O)C(O)=C2C(=O)OCC2=C1C
CCMSLIB00000571813,DHPRQBPJLMKORJ-UHFFFAOYSA-N,N/A,BGC0000209,chlortetracycline,DHPRQBPJLMKORJ-RQWFMOQPSA-N,C[C@@]1(C2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)O)C(=O)N)N(C)C)O
CCMSLIB00000571821,HPNSFSBZBAHARI-RUDMXATFSA-N,N/A,BGC0000104,Mycophenolic acid,HPNSFSBZBAHARI-RUDMXATFSA-N,COC1=C(C\C=C(/C)CCC(O)=O)C(O)=C2C(=O)OCC2=C1C
CCMSLIB00000571821,HPNSFSBZBAHARI-RUDMXATFSA-N,N/A,BGC0001677,mycophenolic acid,HPNSFSBZBAHARI-RUDMXATFSA-N,COC1=C(C\C=C(/C)CCC(O)=O)C(O)=C2C(=O)OCC2=C1C
CCMSLIB00000571824,UNFWWIHTNXNPBV-WXKVUWSESA-N,N/A,BGC0000715,Actinospectacin,UNFWWIHTNXNPBV-UHFFFAOYSA-N,CNC1C(O)C(NC)C2OC3(O)C(OC(C)CC3=O)OC2C1O
CCMSLIB00000571824,UNFWWIHTNXNPBV-WXKVUWSESA-N,N/A,BGC0000716,spectinomycin,UNFWWIHTNXNPBV-WXKVUWSESA-N,C[C@@H]1CC(=O)[C@]2([C@@H](O1)O[C@@H]3[C@H]([C@@H]([C@@H]([C@@H]([C@H]3O2)NC)O)NC)O)O
CCMSLIB00000571859,URWAJWIAIPFPJE-YFMIWBNJSA-N,N/A,BGC0000714,Sisomicin,URWAJWIAIPFPJE-YFMIWBNJSA-N,CN[C@@H]1[C@@H](O)[C@@H](O[C@H]2[C@H](N)C[C@H](N)[C@@H](O[C@H]3OC(CN)=CC[C@H]3N)[C@@H]2O)OC[C@]1(C)O
CCMSLIB00000571862,URWAJWIAIPFPJE-YFMIWBNJSA-N,N/A,BGC0000714,Sisomicin,URWAJWIAIPFPJE-YFMIWBNJSA-N,CN[C@@H]1[C@@H](O)[C@@H](O[C@H]2[C@H](N)C[C@H](N)[C@@H](O[C@H]3OC(CN)=CC[C@H]3N)[C@@H]2O)OC[C@]1(C)O
CCMSLIB00000571875,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,N/A,BGC0000878,Puromycin,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,[H][C@](N)(CC1=CC=C(OC)C=C1)C(=O)N[C@@H]1[C@@H](CO)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2N(C)C
CCMSLIB00000571881,URWAJWIAIPFPJE-YFMIWBNJSA-N,N/A,BGC0000714,Sisomicin,URWAJWIAIPFPJE-YFMIWBNJSA-N,CN[C@@H]1[C@@H](O)[C@@H](O[C@H]2[C@H](N)C[C@H](N)[C@@H](O[C@H]3OC(CN)=CC[C@H]3N)[C@@H]2O)OC[C@]1(C)O
CCMSLIB00000571899,URWAJWIAIPFPJE-YFMIWBNJSA-N,N/A,BGC0000714,Sisomicin,URWAJWIAIPFPJE-YFMIWBNJSA-N,CN[C@@H]1[C@@H](O)[C@@H](O[C@H]2[C@H](N)C[C@H](N)[C@@H](O[C@H]3OC(CN)=CC[C@H]3N)[C@@H]2O)OC[C@]1(C)O
CCMSLIB00000571938,NSKGQURZWSPSBC-DLBSIDPUSA-N,N/A,BGC0000713,ribostamycin,NSKGQURZWSPSBC-VVPCINPTSA-N,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)O)N
CCMSLIB00000571948,NSKGQURZWSPSBC-DLBSIDPUSA-N,N/A,BGC0000713,ribostamycin,NSKGQURZWSPSBC-VVPCINPTSA-N,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)O)N
CCMSLIB00000571961,NSKGQURZWSPSBC-DLBSIDPUSA-N,N/A,BGC0000713,ribostamycin,NSKGQURZWSPSBC-VVPCINPTSA-N,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)O)N
CCMSLIB00000571996,UCSJYZPVAKXKNQ-HZYVHMACSA-N,N/A,BGC0000717,streptomycin,UCSJYZPVAKXKNQ-HZYVHMACSA-N,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O
CCMSLIB00000571996,UCSJYZPVAKXKNQ-HZYVHMACSA-N,N/A,BGC0000718,streptomycin,UCSJYZPVAKXKNQ-HZYVHMACSA-N,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O
CCMSLIB00000571996,UCSJYZPVAKXKNQ-HZYVHMACSA-N,N/A,BGC0000724,streptomycin,UCSJYZPVAKXKNQ-HZYVHMACSA-N,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O
CCMSLIB00000571998,UCSJYZPVAKXKNQ-HZYVHMACSA-N,N/A,BGC0000717,streptomycin,UCSJYZPVAKXKNQ-HZYVHMACSA-N,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O
CCMSLIB00000571998,UCSJYZPVAKXKNQ-HZYVHMACSA-N,N/A,BGC0000718,streptomycin,UCSJYZPVAKXKNQ-HZYVHMACSA-N,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O
CCMSLIB00000571998,UCSJYZPVAKXKNQ-HZYVHMACSA-N,N/A,BGC0000724,streptomycin,UCSJYZPVAKXKNQ-HZYVHMACSA-N,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O
CCMSLIB00000572045,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,N/A,BGC0000878,Puromycin,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,[H][C@](N)(CC1=CC=C(OC)C=C1)C(=O)N[C@@H]1[C@@H](CO)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2N(C)C
CCMSLIB00000572123,NSKGQURZWSPSBC-DLBSIDPUSA-N,N/A,BGC0000713,ribostamycin,NSKGQURZWSPSBC-VVPCINPTSA-N,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)O)N
CCMSLIB00000572125,UCSJYZPVAKXKNQ-HZYVHMACSA-N,N/A,BGC0000717,streptomycin,UCSJYZPVAKXKNQ-HZYVHMACSA-N,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O
CCMSLIB00000572125,UCSJYZPVAKXKNQ-HZYVHMACSA-N,N/A,BGC0000718,streptomycin,UCSJYZPVAKXKNQ-HZYVHMACSA-N,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O
CCMSLIB00000572125,UCSJYZPVAKXKNQ-HZYVHMACSA-N,N/A,BGC0000724,streptomycin,UCSJYZPVAKXKNQ-HZYVHMACSA-N,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O
CCMSLIB00000572135,UCSJYZPVAKXKNQ-HZYVHMACSA-N,N/A,BGC0000717,streptomycin,UCSJYZPVAKXKNQ-HZYVHMACSA-N,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O
CCMSLIB00000572135,UCSJYZPVAKXKNQ-HZYVHMACSA-N,N/A,BGC0000718,streptomycin,UCSJYZPVAKXKNQ-HZYVHMACSA-N,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O
CCMSLIB00000572135,UCSJYZPVAKXKNQ-HZYVHMACSA-N,N/A,BGC0000724,streptomycin,UCSJYZPVAKXKNQ-HZYVHMACSA-N,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O
CCMSLIB00000572141,NSKGQURZWSPSBC-DLBSIDPUSA-N,N/A,BGC0000713,ribostamycin,NSKGQURZWSPSBC-VVPCINPTSA-N,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)O)N
CCMSLIB00000572147,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,N/A,BGC0000878,Puromycin,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,[H][C@](N)(CC1=CC=C(OC)C=C1)C(=O)N[C@@H]1[C@@H](CO)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2N(C)C
CCMSLIB00000572168,LVHBHZANLOWSRM-UHFFFAOYSA-N,N/A,BGC0001286,itaconic acid,LVHBHZANLOWSRM-UHFFFAOYSA-N,C=C(CC(=O)O)C(=O)O
CCMSLIB00000572173,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,N/A,BGC0000878,Puromycin,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,[H][C@](N)(CC1=CC=C(OC)C=C1)C(=O)N[C@@H]1[C@@H](CO)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2N(C)C
CCMSLIB00000572199,IXORZMNAPKEEDV-OBDJNFEBSA-N,N/A,BGC0001269,gibberellin A3,IXORZMNAPKEEDV-OBDJNFEBSA-N,C[C@@]12[C@H](C=C[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@](C4)(C(=C)C5)O)C(=O)O)OC2=O)O
CCMSLIB00000572199,IXORZMNAPKEEDV-OBDJNFEBSA-N,N/A,BGC0001604,gibberellin,IXORZMNAPKEEDV-QTWFBFKQSA-N,CC12[C@H](C=C[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@](C4)(C(=C)C5)O)C(=O)O)OC2=O)O
CCMSLIB00000572199,IXORZMNAPKEEDV-OBDJNFEBSA-N,N/A,BGC0001605,gibberellin,IXORZMNAPKEEDV-QTWFBFKQSA-N,CC12[C@H](C=C[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@](C4)(C(=C)C5)O)C(=O)O)OC2=O)O
CCMSLIB00000572202,JLJLRLWOEMWYQK-OBDJNFEBSA-N,N/A,BGC0001269,gibberellin A1,JLJLRLWOEMWYQK-OBDJNFEBSA-N,C[C@@]12[C@H](CC[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@](C4)(C(=C)C5)O)C(=O)O)OC2=O)O
CCMSLIB00000572303,WIIZWVCIJKGZOK-RKDXNWHRSA-N,N/A,BGC0000893,Chloramphenicol,WIIZWVCIJKGZOK-UHFFFAOYSA-N,OCC(NC(=O)C(Cl)Cl)C(O)C1=CC=C(C=C1)N(=O)=O
CCMSLIB00000572304,AKNNEGZIBPJZJG-UHFFFAOYSA-N,N/A,BGC0001325,noscapine,AKNNEGZIBPJZJG-MSOLQXFVSA-N,CN1CCC2=CC3=C(C(=C2[C@@H]1[C@@H]4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OC)OCO3
CCMSLIB00000572346,QJJXYPPXXYFBGM-LJIGMGMYSA-N,N/A,BGC0000353,Tacrolimus,QJJXYPPXXYFBGM-ONLNQCGCSA-N,[H][C@]1(CC[C@@H](O)[C@@H](C1)OC)\C=C(/C)[C@@H]1OC(=O)[C@]2([H])CCCCN2C(=O)C(=O)[C@]2(O)O[C@@]([H])([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC
CCMSLIB00000572386,QJJXYPPXXYFBGM-LJIGMGMYSA-N,N/A,BGC0000353,Tacrolimus,QJJXYPPXXYFBGM-ONLNQCGCSA-N,[H][C@]1(CC[C@@H](O)[C@@H](C1)OC)\C=C(/C)[C@@H]1OC(=O)[C@]2([H])CCCCN2C(=O)C(=O)[C@]2(O)O[C@@]([H])([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC
CCMSLIB00000572393,QJJXYPPXXYFBGM-LJIGMGMYSA-N,N/A,BGC0000353,Tacrolimus,QJJXYPPXXYFBGM-ONLNQCGCSA-N,[H][C@]1(CC[C@@H](O)[C@@H](C1)OC)\C=C(/C)[C@@H]1OC(=O)[C@]2([H])CCCCN2C(=O)C(=O)[C@]2(O)O[C@@]([H])([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC
CCMSLIB00000572472,WIIZWVCIJKGZOK-RKDXNWHRSA-N,N/A,BGC0000893,Chloramphenicol,WIIZWVCIJKGZOK-UHFFFAOYSA-N,OCC(NC(=O)C(Cl)Cl)C(O)C1=CC=C(C=C1)N(=O)=O
CCMSLIB00000572479,WIIZWVCIJKGZOK-RKDXNWHRSA-N,N/A,BGC0000893,Chloramphenicol,WIIZWVCIJKGZOK-UHFFFAOYSA-N,OCC(NC(=O)C(Cl)Cl)C(O)C1=CC=C(C=C1)N(=O)=O
CCMSLIB00000572558,QJJXYPPXXYFBGM-LJIGMGMYSA-N,N/A,BGC0000353,Tacrolimus,QJJXYPPXXYFBGM-ONLNQCGCSA-N,[H][C@]1(CC[C@@H](O)[C@@H](C1)OC)\C=C(/C)[C@@H]1OC(=O)[C@]2([H])CCCCN2C(=O)C(=O)[C@]2(O)O[C@@]([H])([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC
CCMSLIB00000572577,QJJXYPPXXYFBGM-LJIGMGMYSA-N,N/A,BGC0000353,Tacrolimus,QJJXYPPXXYFBGM-ONLNQCGCSA-N,[H][C@]1(CC[C@@H](O)[C@@H](C1)OC)\C=C(/C)[C@@H]1OC(=O)[C@]2([H])CCCCN2C(=O)C(=O)[C@]2(O)O[C@@]([H])([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC
CCMSLIB00000572666,QJJXYPPXXYFBGM-LJIGMGMYSA-N,N/A,BGC0000353,Tacrolimus,QJJXYPPXXYFBGM-ONLNQCGCSA-N,[H][C@]1(CC[C@@H](O)[C@@H](C1)OC)\C=C(/C)[C@@H]1OC(=O)[C@]2([H])CCCCN2C(=O)C(=O)[C@]2(O)O[C@@]([H])([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC
CCMSLIB00000572697,WIIZWVCIJKGZOK-RKDXNWHRSA-N,N/A,BGC0000893,Chloramphenicol,WIIZWVCIJKGZOK-UHFFFAOYSA-N,OCC(NC(=O)C(Cl)Cl)C(O)C1=CC=C(C=C1)N(=O)=O
